id,name,followers,er,country,topic_of_influence,potential_reach,channel_id,subscribers,total_views,total_videos,duplicate_channel_id,channel_name
76,Naomi Jon @UC2qn0BbyTywWCuAy1f1ecfg,2.4M,3.20%,Germany,,720K,UC2qn0BbyTywWCuAy1f1ecfg,3220000,631413443,358,UC2qn0BbyTywWCuAy1f1ecfg,Naomi Jon 
77,asmr zeitgeist @UCzGEGjOCbgv9z9SF71QyI7g,2.4M,1.40%,Germany,,720K,UCzGEGjOCbgv9z9SF71QyI7g,2920000,693555683,333,UCzGEGjOCbgv9z9SF71QyI7g,asmr zeitgeist 
78,Mayapolarbear @UCLFJxkc6mv0Mj6N49MHyK2Q,2.4M,-,Germany,,717K,UCLFJxkc6mv0Mj6N49MHyK2Q,2910000,550762359,214,UCLFJxkc6mv0Mj6N49MHyK2Q,Mayapolarbear 
79,Julia Beautx @UCG0E3naN7D-bgldOJvGHbtg,2.4M,0.80%,Germany,Food and Drink,717K,UCG0E3naN7D-bgldOJvGHbtg,2570000,600469975,487,UCG0E3naN7D-bgldOJvGHbtg,Julia Beautx 
80,3D VR 360 VIDEOS @UCnO5ygba3vsJG9IeZLndaTQ,2.4M,-,Germany,,714K,UCnO5ygba3vsJG9IeZLndaTQ,N/A,N/A,N/A,UCnO5ygba3vsJG9IeZLndaTQ,3D VR 360 VIDEOS 
81,Made My Day @UCczKrLf-GTXBo1ThoiILP0A,2.3M,-,Germany,,702K,UCczKrLf-GTXBo1ThoiILP0A,2300000,1217561792,1703,UCczKrLf-GTXBo1ThoiILP0A,Made My Day 
82,The Voice of Germany - Offiziell @UC0_LJ1oJtR5keARJWupA3_g,2.3M,-,Germany,,699K,UC0_LJ1oJtR5keARJWupA3_g,2480000,1779651983,2807,UC0_LJ1oJtR5keARJWupA3_g,The Voice of Germany - Offiziell 
83,RC RC RC!!! @UCOM2W7YxiXPtKobhrYasZDg,2.3M,-,Germany,,693K,UCOM2W7YxiXPtKobhrYasZDg,2880000,1251485077,1986,UCOM2W7YxiXPtKobhrYasZDg,RC RC RC!!! 
84,JP Performance GmbH @UC1-VOKyTJrgLiBeiJqzeIUQ,2.3M,-,Germany,,687K,UC1-VOKyTJrgLiBeiJqzeIUQ,2550000,1622065093,2352,UC1-VOKyTJrgLiBeiJqzeIUQ,JP Performance GmbH 
85,عالم الكيك @UCPAoLHiPHbNzDlcTLh5NJjw,2.3M,-,Germany,,678K,UCPAoLHiPHbNzDlcTLh5NJjw,2320000,367440233,722,UCPAoLHiPHbNzDlcTLh5NJjw,عالم الكيك 
86,Rapid Liquid @UC38r7_x7oMPAZweB2fvGDXQ,2.2M,-,Germany,,669K,UC38r7_x7oMPAZweB2fvGDXQ,2350000,1080500167,504,UC38r7_x7oMPAZweB2fvGDXQ,Rapid Liquid 
87,Khalid Alnaimi خالد النعيمي @UCyCs6M3YClp90wqwcnnEmOw,2.2M,0.80%,Germany,Marketing and Advertising,669K,UCyCs6M3YClp90wqwcnnEmOw,2390000,448769044,520,UCyCs6M3YClp90wqwcnnEmOw,Khalid Alnaimi خالد النعيمي 
88,GalileoRU @UCpNzWUlO6PVb_v7chefBnig,2.2M,-,Germany,,651K,UCpNzWUlO6PVb_v7chefBnig,2260000,874022352,2096,UCpNzWUlO6PVb_v7chefBnig,GalileoRU 
89,ToysMyToys @UCx5M8lD4NWfoDERFXy3MtyA,2.2M,-,Germany,,645K,UCx5M8lD4NWfoDERFXy3MtyA,2240000,949907053,145,UCx5M8lD4NWfoDERFXy3MtyA,ToysMyToys 
90,AviveHD @avivehd,2.1M,0.20%,Germany,,639K,avivehd,N/A,N/A,N/A,avivehd,AviveHD 
91,GÜLSÜMÜN SARAYI TV @UCXL8AQAyGu-g2YSG7QzDBIg,2.1M,-,Germany,,639K,UCXL8AQAyGu-g2YSG7QzDBIg,3860000,881270570,1988,UCXL8AQAyGu-g2YSG7QzDBIg,GÜLSÜMÜN SARAYI TV 
92,Trymacs @UC6Gc4KQ1ueDnh8x7plaAD3w,2.1M,0.40%,Germany,,639K,UC6Gc4KQ1ueDnh8x7plaAD3w,2350000,1359527352,4015,UC6Gc4KQ1ueDnh8x7plaAD3w,Trymacs 
93,Gewitter im Kopf - Leben mit Tourette @UCh2Nc3OwjSwuXrUdFNXqFbQ,2.1M,0.20%,Germany,,639K,UCh2Nc3OwjSwuXrUdFNXqFbQ,2030000,329350969,413,UCh2Nc3OwjSwuXrUdFNXqFbQ,Gewitter im Kopf - Leben mit Tourette 
94,Fritz Meinecke @fritzmeinecke,2.1M,1.70%,Germany,,636K,fritzmeinecke,N/A,N/A,N/A,fritzmeinecke,Fritz Meinecke 
95,Mois @UCqcWNPTUVATZt0Dlr2jV0Wg,2.1M,-,Germany,,636K,UCqcWNPTUVATZt0Dlr2jV0Wg,N/A,N/A,N/A,UCqcWNPTUVATZt0Dlr2jV0Wg,Mois 
96,Little Baby Bum Deutsch @UCHAQPpmpJqY50V046kQ63Mw,2.1M,-,Germany,,630K,UCHAQPpmpJqY50V046kQ63Mw,2070000,859916570,1276,UCHAQPpmpJqY50V046kQ63Mw,Little Baby Bum Deutsch 
97,CrispyRob @UCvGh4HT9ySBoURt0zSpC0Nw,2M,0.70%,Germany,,615K,UCvGh4HT9ySBoURt0zSpC0Nw,2030000,373427674,346,UCvGh4HT9ySBoURt0zSpC0Nw,CrispyRob 
98,Aysha Siddika @UC5xIZOXLw-dd617GoPPDgbw,2M,-,Germany,,609K,UC5xIZOXLw-dd617GoPPDgbw,2300000,424498539,748,UC5xIZOXLw-dd617GoPPDgbw,Aysha Siddika 
99,Joey's Jungle @UCGWSzxsb4UXsQf_FRQ7rR1g,2M,2.80%,Germany,,606K,UCGWSzxsb4UXsQf_FRQ7rR1g,2120000,935516194,490,UCGWSzxsb4UXsQf_FRQ7rR1g,Joey's Jungle 
100,Sallys Welt @UCPNqPbXJHMvrH3NwRKKR5IQ,2M,-,Germany,,606K,UCPNqPbXJHMvrH3NwRKKR5IQ,2120000,692980301,1803,UCPNqPbXJHMvrH3NwRKKR5IQ,Sallys Welt 
